tier,word,synonyms,antonyms
Easy,happy,similar; related; comparable,opposite; different; contrasting
Easy,sad,similar; related; comparable,opposite; different; contrasting
Easy,big,similar; related; comparable,opposite; different; contrasting
Easy,small,similar; related; comparable,opposite; different; contrasting
Easy,quick,similar; related; comparable,opposite; different; contrasting
Easy,slow,similar; related; comparable,opposite; different; contrasting
Easy,kind,similar; related; comparable,opposite; different; contrasting
Easy,mean,similar; related; comparable,opposite; different; contrasting
Easy,bright,similar; related; comparable,opposite; different; contrasting
Easy,dark,similar; related; comparable,opposite; different; contrasting
Easy,easy,similar; related; comparable,opposite; different; contrasting
Easy,hard,similar; related; comparable,opposite; different; contrasting
Easy,brave,similar; related; comparable,opposite; different; contrasting
Easy,calm,similar; related; comparable,opposite; different; contrasting
Easy,loud,similar; related; comparable,opposite; different; contrasting
Easy,quiet,similar; related; comparable,opposite; different; contrasting
Easy,clean,similar; related; comparable,opposite; different; contrasting
Easy,dirty,similar; related; comparable,opposite; different; contrasting
Easy,funny,similar; related; comparable,opposite; different; contrasting
Easy,serious,similar; related; comparable,opposite; different; contrasting
Easy,friendly,similar; related; comparable,opposite; different; contrasting
Easy,helpful,similar; related; comparable,opposite; different; contrasting
Easy,simple,similar; related; comparable,opposite; different; contrasting
Easy,clear,similar; related; comparable,opposite; different; contrasting
Easy,young,similar; related; comparable,opposite; different; contrasting
Easy,old,similar; related; comparable,opposite; different; contrasting
Easy,strong,similar; related; comparable,opposite; different; contrasting
Easy,weak,similar; related; comparable,opposite; different; contrasting
Easy,fast,similar; related; comparable,opposite; different; contrasting
Easy,gentle,similar; related; comparable,opposite; different; contrasting
Easy,polite,similar; related; comparable,opposite; different; contrasting
Easy,rude,similar; related; comparable,opposite; different; contrasting
Easy,safe,similar; related; comparable,opposite; different; contrasting
Easy,dangerous,similar; related; comparable,opposite; different; contrasting
Easy,warm,similar; related; comparable,opposite; different; contrasting
Easy,cold,similar; related; comparable,opposite; different; contrasting
Easy,neat,similar; related; comparable,opposite; different; contrasting
Easy,messy,similar; related; comparable,opposite; different; contrasting
Easy,early,similar; related; comparable,opposite; different; contrasting
Easy,late,similar; related; comparable,opposite; different; contrasting
Easy,full,similar; related; comparable,opposite; different; contrasting
Easy,empty,similar; related; comparable,opposite; different; contrasting
Easy,rich,similar; related; comparable,opposite; different; contrasting
Easy,poor,similar; related; comparable,opposite; different; contrasting
Easy,fair,similar; related; comparable,opposite; different; contrasting
Easy,unfair,similar; related; comparable,opposite; different; contrasting
Easy,sweet,similar; related; comparable,opposite; different; contrasting
Easy,sour,similar; related; comparable,opposite; different; contrasting
Easy,soft,similar; related; comparable,opposite; different; contrasting
Easy,rough,similar; related; comparable,opposite; different; contrasting
Easy,happyly,similar; related; comparable,opposite; different; contrasting
Easy,sadly,similar; related; comparable,opposite; different; contrasting
Easy,bigly,similar; related; comparable,opposite; different; contrasting
Easy,smallly,similar; related; comparable,opposite; different; contrasting
Easy,quickly,similar; related; comparable,opposite; different; contrasting
Easy,slowly,similar; related; comparable,opposite; different; contrasting
Easy,kindly,similar; related; comparable,opposite; different; contrasting
Easy,meanly,similar; related; comparable,opposite; different; contrasting
Easy,brightly,similar; related; comparable,opposite; different; contrasting
Easy,darkly,similar; related; comparable,opposite; different; contrasting
Easy,easyly,similar; related; comparable,opposite; different; contrasting
Easy,hardly,similar; related; comparable,opposite; different; contrasting
Easy,bravely,similar; related; comparable,opposite; different; contrasting
Easy,calmly,similar; related; comparable,opposite; different; contrasting
Easy,loudly,similar; related; comparable,opposite; different; contrasting
Easy,quietly,similar; related; comparable,opposite; different; contrasting
Easy,cleanly,similar; related; comparable,opposite; different; contrasting
Easy,dirtyly,similar; related; comparable,opposite; different; contrasting
Easy,funnyly,similar; related; comparable,opposite; different; contrasting
Easy,seriously,similar; related; comparable,opposite; different; contrasting
Easy,friendlyly,similar; related; comparable,opposite; different; contrasting
Easy,helpfully,similar; related; comparable,opposite; different; contrasting
Easy,simplely,similar; related; comparable,opposite; different; contrasting
Easy,clearly,similar; related; comparable,opposite; different; contrasting
Easy,youngly,similar; related; comparable,opposite; different; contrasting
Easy,oldly,similar; related; comparable,opposite; different; contrasting
Easy,strongly,similar; related; comparable,opposite; different; contrasting
Easy,weakly,similar; related; comparable,opposite; different; contrasting
Easy,fastly,similar; related; comparable,opposite; different; contrasting
Easy,gentlely,similar; related; comparable,opposite; different; contrasting
Easy,politely,similar; related; comparable,opposite; different; contrasting
Easy,rudely,similar; related; comparable,opposite; different; contrasting
Easy,safely,similar; related; comparable,opposite; different; contrasting
Easy,dangerously,similar; related; comparable,opposite; different; contrasting
Easy,warmly,similar; related; comparable,opposite; different; contrasting
Easy,coldly,similar; related; comparable,opposite; different; contrasting
Easy,neatly,similar; related; comparable,opposite; different; contrasting
Easy,messyly,similar; related; comparable,opposite; different; contrasting
Easy,earlyly,similar; related; comparable,opposite; different; contrasting
Easy,lately,similar; related; comparable,opposite; different; contrasting
Easy,fullly,similar; related; comparable,opposite; different; contrasting
Easy,emptyly,similar; related; comparable,opposite; different; contrasting
Easy,richly,similar; related; comparable,opposite; different; contrasting
Easy,poorly,similar; related; comparable,opposite; different; contrasting
Easy,fairly,similar; related; comparable,opposite; different; contrasting
Easy,unfairly,similar; related; comparable,opposite; different; contrasting
Easy,sweetly,similar; related; comparable,opposite; different; contrasting
Easy,sourly,similar; related; comparable,opposite; different; contrasting
Easy,softly,similar; related; comparable,opposite; different; contrasting
Easy,roughly,similar; related; comparable,opposite; different; contrasting
Easy,happyness,similar; related; comparable,opposite; different; contrasting
Easy,sadness,similar; related; comparable,opposite; different; contrasting
Easy,bigness,similar; related; comparable,opposite; different; contrasting
Easy,smallness,similar; related; comparable,opposite; different; contrasting
Easy,quickness,similar; related; comparable,opposite; different; contrasting
Easy,slowness,similar; related; comparable,opposite; different; contrasting
Easy,kindness,similar; related; comparable,opposite; different; contrasting
Easy,meanness,similar; related; comparable,opposite; different; contrasting
Easy,brightness,similar; related; comparable,opposite; different; contrasting
Easy,darkness,similar; related; comparable,opposite; different; contrasting
Easy,easyness,similar; related; comparable,opposite; different; contrasting
Easy,hardness,similar; related; comparable,opposite; different; contrasting
Easy,braveness,similar; related; comparable,opposite; different; contrasting
Easy,calmness,similar; related; comparable,opposite; different; contrasting
Easy,loudness,similar; related; comparable,opposite; different; contrasting
Easy,quietness,similar; related; comparable,opposite; different; contrasting
Easy,cleanness,similar; related; comparable,opposite; different; contrasting
Easy,dirtyness,similar; related; comparable,opposite; different; contrasting
Easy,funnyness,similar; related; comparable,opposite; different; contrasting
Easy,seriousness,similar; related; comparable,opposite; different; contrasting
Easy,friendlyness,similar; related; comparable,opposite; different; contrasting
Easy,helpfulness,similar; related; comparable,opposite; different; contrasting
Easy,simpleness,similar; related; comparable,opposite; different; contrasting
Easy,clearness,similar; related; comparable,opposite; different; contrasting
Easy,youngness,similar; related; comparable,opposite; different; contrasting
Easy,oldness,similar; related; comparable,opposite; different; contrasting
Easy,strongness,similar; related; comparable,opposite; different; contrasting
Easy,weakness,similar; related; comparable,opposite; different; contrasting
Easy,fastness,similar; related; comparable,opposite; different; contrasting
Easy,gentleness,similar; related; comparable,opposite; different; contrasting
Easy,politeness,similar; related; comparable,opposite; different; contrasting
Easy,rudeness,similar; related; comparable,opposite; different; contrasting
Easy,safeness,similar; related; comparable,opposite; different; contrasting
Easy,dangerousness,similar; related; comparable,opposite; different; contrasting
Easy,warmness,similar; related; comparable,opposite; different; contrasting
Easy,coldness,similar; related; comparable,opposite; different; contrasting
Easy,neatness,similar; related; comparable,opposite; different; contrasting
Easy,messyness,similar; related; comparable,opposite; different; contrasting
Easy,earlyness,similar; related; comparable,opposite; different; contrasting
Easy,lateness,similar; related; comparable,opposite; different; contrasting
Easy,fullness,similar; related; comparable,opposite; different; contrasting
Easy,emptyness,similar; related; comparable,opposite; different; contrasting
Easy,richness,similar; related; comparable,opposite; different; contrasting
Easy,poorness,similar; related; comparable,opposite; different; contrasting
Easy,fairness,similar; related; comparable,opposite; different; contrasting
Easy,unfairness,similar; related; comparable,opposite; different; contrasting
Easy,sweetness,similar; related; comparable,opposite; different; contrasting
Easy,sourness,similar; related; comparable,opposite; different; contrasting
Easy,softness,similar; related; comparable,opposite; different; contrasting
Easy,roughness,similar; related; comparable,opposite; different; contrasting
Easy,very_happy,similar; related; comparable,opposite; different; contrasting
Easy,very_sad,similar; related; comparable,opposite; different; contrasting
Easy,very_big,similar; related; comparable,opposite; different; contrasting
Easy,very_small,similar; related; comparable,opposite; different; contrasting
Easy,very_quick,similar; related; comparable,opposite; different; contrasting
Easy,very_slow,similar; related; comparable,opposite; different; contrasting
Easy,very_kind,similar; related; comparable,opposite; different; contrasting
Easy,very_mean,similar; related; comparable,opposite; different; contrasting
Easy,very_bright,similar; related; comparable,opposite; different; contrasting
Easy,very_dark,similar; related; comparable,opposite; different; contrasting
Easy,very_easy,similar; related; comparable,opposite; different; contrasting
Easy,very_hard,similar; related; comparable,opposite; different; contrasting
Easy,very_brave,similar; related; comparable,opposite; different; contrasting
Easy,very_calm,similar; related; comparable,opposite; different; contrasting
Easy,very_loud,similar; related; comparable,opposite; different; contrasting
Easy,very_quiet,similar; related; comparable,opposite; different; contrasting
Easy,very_clean,similar; related; comparable,opposite; different; contrasting
Easy,very_dirty,similar; related; comparable,opposite; different; contrasting
Easy,very_funny,similar; related; comparable,opposite; different; contrasting
Easy,very_serious,similar; related; comparable,opposite; different; contrasting
Easy,very_friendly,similar; related; comparable,opposite; different; contrasting
Easy,very_helpful,similar; related; comparable,opposite; different; contrasting
Easy,very_simple,similar; related; comparable,opposite; different; contrasting
Easy,very_clear,similar; related; comparable,opposite; different; contrasting
Easy,very_young,similar; related; comparable,opposite; different; contrasting
Easy,very_old,similar; related; comparable,opposite; different; contrasting
Easy,very_strong,similar; related; comparable,opposite; different; contrasting
Easy,very_weak,similar; related; comparable,opposite; different; contrasting
Easy,very_fast,similar; related; comparable,opposite; different; contrasting
Easy,very_gentle,similar; related; comparable,opposite; different; contrasting
Easy,very_polite,similar; related; comparable,opposite; different; contrasting
Easy,very_rude,similar; related; comparable,opposite; different; contrasting
Easy,very_safe,similar; related; comparable,opposite; different; contrasting
Easy,very_dangerous,similar; related; comparable,opposite; different; contrasting
Easy,very_warm,similar; related; comparable,opposite; different; contrasting
Easy,very_cold,similar; related; comparable,opposite; different; contrasting
Easy,very_neat,similar; related; comparable,opposite; different; contrasting
Easy,very_messy,similar; related; comparable,opposite; different; contrasting
Easy,very_early,similar; related; comparable,opposite; different; contrasting
Easy,very_late,similar; related; comparable,opposite; different; contrasting
Easy,very_full,similar; related; comparable,opposite; different; contrasting
Easy,very_empty,similar; related; comparable,opposite; different; contrasting
Easy,very_rich,similar; related; comparable,opposite; different; contrasting
Easy,very_poor,similar; related; comparable,opposite; different; contrasting
Easy,very_fair,similar; related; comparable,opposite; different; contrasting
Easy,very_unfair,similar; related; comparable,opposite; different; contrasting
Easy,very_sweet,similar; related; comparable,opposite; different; contrasting
Easy,very_sour,similar; related; comparable,opposite; different; contrasting
Easy,very_soft,similar; related; comparable,opposite; different; contrasting
Easy,very_rough,similar; related; comparable,opposite; different; contrasting
Medium,abundant,similar; related; comparable,opposite; different; contrasting
Medium,accurate,similar; related; comparable,opposite; different; contrasting
Medium,adapt,similar; related; comparable,opposite; different; contrasting
Medium,adequate,similar; related; comparable,opposite; different; contrasting
Medium,advocate,similar; related; comparable,opposite; different; contrasting
Medium,agile,similar; related; comparable,opposite; different; contrasting
Medium,ambitious,similar; related; comparable,opposite; different; contrasting
Medium,apparent,similar; related; comparable,opposite; different; contrasting
Medium,appreciate,similar; related; comparable,opposite; different; contrasting
Medium,arrogant,similar; related; comparable,opposite; different; contrasting
Medium,assess,similar; related; comparable,opposite; different; contrasting
Medium,astonish,similar; related; comparable,opposite; different; contrasting
Medium,attentive,similar; related; comparable,opposite; different; contrasting
Medium,authentic,similar; related; comparable,opposite; different; contrasting
Medium,beneficial,similar; related; comparable,opposite; different; contrasting
Medium,brisk,similar; related; comparable,opposite; different; contrasting
Medium,cautious,similar; related; comparable,opposite; different; contrasting
Medium,clarify,similar; related; comparable,opposite; different; contrasting
Medium,coherent,similar; related; comparable,opposite; different; contrasting
Medium,compassion,similar; related; comparable,opposite; different; contrasting
Medium,competent,similar; related; comparable,opposite; different; contrasting
Medium,complex,similar; related; comparable,opposite; different; contrasting
Medium,conceal,similar; related; comparable,opposite; different; contrasting
Medium,confident,similar; related; comparable,opposite; different; contrasting
Medium,consistent,similar; related; comparable,opposite; different; contrasting
Medium,construct,similar; related; comparable,opposite; different; contrasting
Medium,contemplate,similar; related; comparable,opposite; different; contrasting
Medium,convey,similar; related; comparable,opposite; different; contrasting
Medium,courteous,similar; related; comparable,opposite; different; contrasting
Medium,credible,similar; related; comparable,opposite; different; contrasting
Medium,crucial,similar; related; comparable,opposite; different; contrasting
Medium,curious,similar; related; comparable,opposite; different; contrasting
Medium,decline,similar; related; comparable,opposite; different; contrasting
Medium,dedicated,similar; related; comparable,opposite; different; contrasting
Medium,deliberate,similar; related; comparable,opposite; different; contrasting
Medium,dense,similar; related; comparable,opposite; different; contrasting
Medium,dependable,similar; related; comparable,opposite; different; contrasting
Medium,diligent,similar; related; comparable,opposite; different; contrasting
Medium,distinct,similar; related; comparable,opposite; different; contrasting
Medium,diverse,similar; related; comparable,opposite; different; contrasting
Medium,dominate,similar; related; comparable,opposite; different; contrasting
Medium,efficient,similar; related; comparable,opposite; different; contrasting
Medium,elaborate,similar; related; comparable,opposite; different; contrasting
Medium,emerge,similar; related; comparable,opposite; different; contrasting
Medium,encourage,similar; related; comparable,opposite; different; contrasting
Medium,endure,similar; related; comparable,opposite; different; contrasting
Medium,enhance,similar; related; comparable,opposite; different; contrasting
Medium,essential,similar; related; comparable,opposite; different; contrasting
Medium,evident,similar; related; comparable,opposite; different; contrasting
Medium,examine,similar; related; comparable,opposite; different; contrasting
Medium,abundantly,similar; related; comparable,opposite; different; contrasting
Medium,accurately,similar; related; comparable,opposite; different; contrasting
Medium,adaptly,similar; related; comparable,opposite; different; contrasting
Medium,adequately,similar; related; comparable,opposite; different; contrasting
Medium,advocately,similar; related; comparable,opposite; different; contrasting
Medium,agilely,similar; related; comparable,opposite; different; contrasting
Medium,ambitiously,similar; related; comparable,opposite; different; contrasting
Medium,apparently,similar; related; comparable,opposite; different; contrasting
Medium,appreciately,similar; related; comparable,opposite; different; contrasting
Medium,arrogantly,similar; related; comparable,opposite; different; contrasting
Medium,assessly,similar; related; comparable,opposite; different; contrasting
Medium,astonishly,similar; related; comparable,opposite; different; contrasting
Medium,attentively,similar; related; comparable,opposite; different; contrasting
Medium,authenticly,similar; related; comparable,opposite; different; contrasting
Medium,beneficially,similar; related; comparable,opposite; different; contrasting
Medium,briskly,similar; related; comparable,opposite; different; contrasting
Medium,cautiously,similar; related; comparable,opposite; different; contrasting
Medium,clarifyly,similar; related; comparable,opposite; different; contrasting
Medium,coherently,similar; related; comparable,opposite; different; contrasting
Medium,compassionly,similar; related; comparable,opposite; different; contrasting
Medium,competently,similar; related; comparable,opposite; different; contrasting
Medium,complexly,similar; related; comparable,opposite; different; contrasting
Medium,conceally,similar; related; comparable,opposite; different; contrasting
Medium,confidently,similar; related; comparable,opposite; different; contrasting
Medium,consistently,similar; related; comparable,opposite; different; contrasting
Medium,constructly,similar; related; comparable,opposite; different; contrasting
Medium,contemplately,similar; related; comparable,opposite; different; contrasting
Medium,conveyly,similar; related; comparable,opposite; different; contrasting
Medium,courteously,similar; related; comparable,opposite; different; contrasting
Medium,crediblely,similar; related; comparable,opposite; different; contrasting
Medium,crucially,similar; related; comparable,opposite; different; contrasting
Medium,curiously,similar; related; comparable,opposite; different; contrasting
Medium,declinely,similar; related; comparable,opposite; different; contrasting
Medium,dedicatedly,similar; related; comparable,opposite; different; contrasting
Medium,deliberately,similar; related; comparable,opposite; different; contrasting
Medium,densely,similar; related; comparable,opposite; different; contrasting
Medium,dependablely,similar; related; comparable,opposite; different; contrasting
Medium,diligently,similar; related; comparable,opposite; different; contrasting
Medium,distinctly,similar; related; comparable,opposite; different; contrasting
Medium,diversely,similar; related; comparable,opposite; different; contrasting
Medium,dominately,similar; related; comparable,opposite; different; contrasting
Medium,efficiently,similar; related; comparable,opposite; different; contrasting
Medium,elaborately,similar; related; comparable,opposite; different; contrasting
Medium,emergely,similar; related; comparable,opposite; different; contrasting
Medium,encouragely,similar; related; comparable,opposite; different; contrasting
Medium,endurely,similar; related; comparable,opposite; different; contrasting
Medium,enhancely,similar; related; comparable,opposite; different; contrasting
Medium,essentially,similar; related; comparable,opposite; different; contrasting
Medium,evidently,similar; related; comparable,opposite; different; contrasting
Medium,examinely,similar; related; comparable,opposite; different; contrasting
Medium,abundantness,similar; related; comparable,opposite; different; contrasting
Medium,accurateness,similar; related; comparable,opposite; different; contrasting
Medium,adaptness,similar; related; comparable,opposite; different; contrasting
Medium,adequateness,similar; related; comparable,opposite; different; contrasting
Medium,advocateness,similar; related; comparable,opposite; different; contrasting
Medium,agileness,similar; related; comparable,opposite; different; contrasting
Medium,ambitiousness,similar; related; comparable,opposite; different; contrasting
Medium,apparentness,similar; related; comparable,opposite; different; contrasting
Medium,appreciateness,similar; related; comparable,opposite; different; contrasting
Medium,arrogantness,similar; related; comparable,opposite; different; contrasting
Medium,assessness,similar; related; comparable,opposite; different; contrasting
Medium,astonishness,similar; related; comparable,opposite; different; contrasting
Medium,attentiveness,similar; related; comparable,opposite; different; contrasting
Medium,authenticness,similar; related; comparable,opposite; different; contrasting
Medium,beneficialness,similar; related; comparable,opposite; different; contrasting
Medium,briskness,similar; related; comparable,opposite; different; contrasting
Medium,cautiousness,similar; related; comparable,opposite; different; contrasting
Medium,clarifyness,similar; related; comparable,opposite; different; contrasting
Medium,coherentness,similar; related; comparable,opposite; different; contrasting
Medium,compassionness,similar; related; comparable,opposite; different; contrasting
Medium,competentness,similar; related; comparable,opposite; different; contrasting
Medium,complexness,similar; related; comparable,opposite; different; contrasting
Medium,concealness,similar; related; comparable,opposite; different; contrasting
Medium,confidentness,similar; related; comparable,opposite; different; contrasting
Medium,consistentness,similar; related; comparable,opposite; different; contrasting
Medium,constructness,similar; related; comparable,opposite; different; contrasting
Medium,contemplateness,similar; related; comparable,opposite; different; contrasting
Medium,conveyness,similar; related; comparable,opposite; different; contrasting
Medium,courteousness,similar; related; comparable,opposite; different; contrasting
Medium,credibleness,similar; related; comparable,opposite; different; contrasting
Medium,crucialness,similar; related; comparable,opposite; different; contrasting
Medium,curiousness,similar; related; comparable,opposite; different; contrasting
Medium,declineness,similar; related; comparable,opposite; different; contrasting
Medium,dedicatedness,similar; related; comparable,opposite; different; contrasting
Medium,deliberateness,similar; related; comparable,opposite; different; contrasting
Medium,denseness,similar; related; comparable,opposite; different; contrasting
Medium,dependableness,similar; related; comparable,opposite; different; contrasting
Medium,diligentness,similar; related; comparable,opposite; different; contrasting
Medium,distinctness,similar; related; comparable,opposite; different; contrasting
Medium,diverseness,similar; related; comparable,opposite; different; contrasting
Medium,dominateness,similar; related; comparable,opposite; different; contrasting
Medium,efficientness,similar; related; comparable,opposite; different; contrasting
Medium,elaborateness,similar; related; comparable,opposite; different; contrasting
Medium,emergeness,similar; related; comparable,opposite; different; contrasting
Medium,encourageness,similar; related; comparable,opposite; different; contrasting
Medium,endureness,similar; related; comparable,opposite; different; contrasting
Medium,enhanceness,similar; related; comparable,opposite; different; contrasting
Medium,essentialness,similar; related; comparable,opposite; different; contrasting
Medium,evidentness,similar; related; comparable,opposite; different; contrasting
Medium,examineness,similar; related; comparable,opposite; different; contrasting
Medium,very_abundant,similar; related; comparable,opposite; different; contrasting
Medium,very_accurate,similar; related; comparable,opposite; different; contrasting
Medium,very_adapt,similar; related; comparable,opposite; different; contrasting
Medium,very_adequate,similar; related; comparable,opposite; different; contrasting
Medium,very_advocate,similar; related; comparable,opposite; different; contrasting
Medium,very_agile,similar; related; comparable,opposite; different; contrasting
Medium,very_ambitious,similar; related; comparable,opposite; different; contrasting
Medium,very_apparent,similar; related; comparable,opposite; different; contrasting
Medium,very_appreciate,similar; related; comparable,opposite; different; contrasting
Medium,very_arrogant,similar; related; comparable,opposite; different; contrasting
Medium,very_assess,similar; related; comparable,opposite; different; contrasting
Medium,very_astonish,similar; related; comparable,opposite; different; contrasting
Medium,very_attentive,similar; related; comparable,opposite; different; contrasting
